Prompt_ID,Repetition,Human_Grade,Auto_Grade,Ground_Truth
PROMPT_0116,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0116,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0117,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0117,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0117,3,slightly satisfying,highly satisfying,highly satisfying
PROMPT_0118,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0118,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0118,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0119,1,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0119,2,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0119,3,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0120,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0120,2,highly satisfying,slightly satisfying,slightly satisfying
PROMPT_0120,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0121,1,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0121,2,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0121,3,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0122,1,highly satisfying,highly satisfying,slightly satisfying
PROMPT_0122,2,slightly satisfying,highly satisfying,slightly satisfying
PROMPT_0122,3,slightly satisfying,highly satisfying,slightly satisfying
PROMPT_0123,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0123,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0123,3,highly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0124,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0124,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0124,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0125,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0125,2,slightly satisfying,highly satisfying,highly satisfying
PROMPT_0125,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0126,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0126,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0126,3,highly satisfying,slightly unsatisfying,slightly unsatisfying
